timestamp,test_name,k,g,s,success_rate,trials
2026-09-08T23:43:47.144236,Test 2,4,10,4,100.0,10
2026-09-08T23:43:47.144236,Test 3,4,10,4,0.0,10
2026-09-08T23:43:47.148332,Test 1,4,10,5,100.0,10
2026-09-08T23:43:47.148332,Test 2,4,10,5,100.0,10
2026-09-08T23:43:47.148332,Test 3,4,10,5,0.0,10
2026-09-08T23:43:47.151930,Test 1,4,10,6,100.0,10
2026-09-08T23:43:47.151930,Test 2,4,10,6,100.0,10
2026-09-08T23:43:47.151930,Test 3,4,10,6,0.0,10
2026-09-08T23:43:47.155912,Test 1,4,10,7,100.0,10
2026-09-08T23:43:47.155912,Test 2,4,10,7,100.0,10
2026-09-08T23:43:47.155912,Test 3,4,10,7,0.0,10
2026-09-08T23:43:47.159778,Test 1,4,10,8,100.0,10
2026-09-08T23:43:47.159778,Test 2,4,10,8,100.0,10
2026-09-08T23:43:47.159778,Test 3,4,10,8,0.0,10
2026-09-08T23:43:47.163776,Test 1,4,12,2,100.0,10
2026-09-08T23:43:47.163776,Test 2,4,12,2,100.0,10
2026-09-08T23:43:47.163776,Test 3,4,12,2,50.0,10
2026-09-08T23:43:47.167585,Test 1,4,12,3,100.0,10
2026-09-08T23:43:47.167585,Test 2,4,12,3,100.0,10
2026-09-08T23:43:47.167585,Test 3,4,12,3,10.0,10
2026-09-08T23:43:47.171528,Test 1,4,12,4,100.0,10
2026-09-08T23:43:47.171528,Test 2,4,12,4,100.0,10
2026-09-08T23:43:47.171528,Test 3,4,12,4,0.0,10
2026-09-08T23:43:47.175789,Test 1,4,12,5,100.0,10
2026-09-08T23:43:47.175789,Test 2,4,12,5,100.0,10
2026-09-08T23:43:47.175789,Test 3,4,12,5,0.0,10
2026-09-08T23:43:47.180155,Test 1,4,12,6,100.0,10
2026-09-08T23:43:47.180155,Test 2,4,12,6,100.0,10
2026-09-08T23:43:47.180155,Test 3,4,12,6,0.0,10
2026-09-08T23:43:47.184426,Test 1,4,12,7,100.0,10
2026-09-08T23:43:47.184426,Test 2,4,12,7,100.0,10
2026-09-08T23:43:47.184426,Test 3,4,12,7,0.0,10
2026-09-08T23:43:47.188910,Test 1,4,12,8,100.0,10
2026-09-08T23:43:47.188910,Test 2,4,12,8,100.0,10
2026-09-08T23:43:47.188910,Test 3,4,12,8,0.0,10
2026-09-08T23:43:47.192698,Test 1,6,8,2,100.0,10
2026-09-08T23:43:47.192698,Test 2,6,8,2,100.0,10
2026-09-08T23:43:47.192698,Test 3,6,8,2,0.0,10
2026-09-08T23:43:47.196812,Test 1,6,8,3,100.0,10
2026-09-08T23:43:47.196812,Test 2,6,8,3,100.0,10
2026-09-08T23:43:47.196812,Test 3,6,8,3,0.0,10
2026-09-08T23:43:47.200939,Test 1,6,8,4,100.0,10
2026-09-08T23:43:47.200939,Test 2,6,8,4,100.0,10
2026-09-08T23:43:47.200939,Test 3,6,8,4,0.0,10
2026-09-08T23:43:47.205435,Test 1,6,8,5,100.0,10
2026-09-08T23:43:47.205435,Test 2,6,8,5,100.0,10
2026-09-08T23:43:47.205435,Test 3,6,8,5,0.0,10
2026-09-08T23:43:47.209714,Test 1,6,8,6,100.0,10
2026-09-08T23:43:47.209714,Test 2,6,8,6,100.0,10
2026-09-08T23:43:47.209714,Test 3,6,8,6,0.0,10
2026-09-08T23:43:47.214350,Test 1,6,8,7,100.0,10
2026-09-08T23:43:47.214350,Test 2,6,8,7,100.0,10
2026-09-08T23:43:47.214350,Test 3,6,8,7,0.0,10
2026-09-08T23:43:47.218938,Test 1,6,8,8,100.0,10
2026-09-08T23:43:47.218938,Test 2,6,8,8,100.0,10
2026-09-08T23:43:47.218938,Test 3,6,8,8,0.0,10
2026-09-08T23:43:47.223917,Test 1,6,10,2,100.0,10
2026-09-08T23:43:47.223917,Test 2,6,10,2,100.0,10
2026-09-08T23:43:47.223917,Test 3,6,10,2,20.0,10
2026-09-08T23:43:47.228833,Test 1,6,10,3,100.0,10
2026-09-08T23:43:47.228833,Test 2,6,10,3,100.0,10
2026-09-08T23:43:47.228833,Test 3,6,10,3,0.0,10
2026-09-08T23:43:47.233430,Test 1,6,10,4,100.0,10
2026-09-08T23:43:47.233430,Test 2,6,10,4,100.0,10
2026-09-08T23:43:47.233430,Test 3,6,10,4,0.0,10
2026-09-08T23:43:47.238730,Test 1,6,10,5,100.0,10
2026-09-08T23:43:47.238730,Test 2,6,10,5,100.0,10
2026-09-08T23:43:47.238730,Test 3,6,10,5,0.0,10
2026-09-08T23:43:47.244006,Test 1,6,10,6,100.0,10
2026-09-08T23:43:47.244006,Test 2,6,10,6,100.0,10
2026-09-08T23:43:47.244006,Test 3,6,10,6,0.0,10
2026-09-08T23:43:47.249570,Test 1,6,10,7,100.0,10
2026-09-08T23:43:47.249570,Test 2,6,10,7,100.0,10
2026-09-08T23:43:47.249570,Test 3,6,10,7,0.0,10
2026-09-08T23:43:47.255024,Test 1,6,10,8,100.0,10
2026-09-08T23:43:47.255024,Test 2,6,10,8,100.0,10
2026-09-08T23:43:47.255024,Test 3,6,10,8,0.0,10
2026-09-08T23:43:47.260394,Test 1,6,12,2,100.0,10
2026-09-08T23:43:47.260394,Test 2,6,12,2,100.0,10
2026-09-08T23:43:47.260394,Test 3,6,12,2,10.0,10
2026-09-08T23:43:47.267130,Test 1,6,12,3,100.0,10
2026-09-08T23:43:47.267130,Test 2,6,12,3,100.0,10
2026-09-08T23:43:47.267130,Test 3,6,12,3,0.0,10
2026-09-08T23:43:47.274079,Test 1,6,12,4,100.0,10
2026-09-08T23:43:47.274079,Test 2,6,12,4,100.0,10
2026-09-08T23:43:47.274079,Test 3,6,12,4,0.0,10
2026-09-08T23:43:47.280333,Test 1,6,12,5,100.0,10
2026-09-08T23:43:47.280333,Test 2,6,12,5,100.0,10
2026-09-08T23:43:47.280333,Test 3,6,12,5,0.0,10
2026-09-08T23:43:47.286447,Test 1,6,12,6,100.0,10
2026-09-08T23:43:47.286447,Test 2,6,12,6,100.0,10
2026-09-08T23:43:47.286447,Test 3,6,12,6,0.0,10
2026-09-08T23:43:47.292631,Test 1,6,12,7,100.0,10
2026-09-08T23:43:47.292631,Test 2,6,12,7,100.0,10
2026-09-08T23:43:47.292631,Test 3,6,12,7,0.0,10
2026-09-08T23:43:47.299137,Test 1,6,12,8,100.0,10
2026-09-08T23:43:47.299137,Test 2,6,12,8,100.0,10
2026-09-08T23:43:47.299137,Test 3,6,12,8,0.0,10
2026-09-08T23:43:47.305523,Test 1,8,10,2,100.0,10
2026-09-08T23:43:47.305523,Test 2,8,10,2,100.0,10
2026-09-08T23:43:47.305523,Test 3,8,10,2,0.0,10
2026-09-08T23:43:47.311916,Test 1,8,10,3,100.0,10
2026-09-08T23:43:47.311916,Test 2,8,10,3,100.0,10
2026-09-08T23:43:47.311916,Test 3,8,10,3,0.0,10
2026-09-08T23:43:47.318570,Test 1,8,10,4,100.0,10
2026-09-08T23:43:47.318570,Test 2,8,10,4,100.0,10
2026-09-08T23:43:47.318570,Test 3,8,10,4,0.0,10
2026-09-08T23:43:47.325615,Test 1,8,10,5,100.0,10
2026-09-08T23:43:47.325615,Test 2,8,10,5,100.0,10
2026-09-08T23:43:47.325615,Test 3,8,10,5,0.0,10
2026-09-08T23:43:47.333247,Test 1,8,10,6,100.0,10
2026-09-08T23:43:47.333247,Test 2,8,10,6,100.0,10
2026-09-08T23:43:47.333247,Test 3,8,10,6,0.0,10
2026-09-08T23:43:47.340074,Test 1,8,10,7,100.0,10
2026-09-08T23:43:47.340074,Test 2,8,10,7,100.0,10
2026-09-08T23:43:47.340074,Test 3,8,10,7,0.0,10
2026-09-08T23:43:47.346848,Test 1,8,10,8,100.0,10
2026-09-08T23:43:47.346848,Test 2,8,10,8,100.0,10
2026-09-08T23:43:47.346848,Test 3,8,10,8,0.0,10
2026-09-08T23:43:47.353355,Test 1,8,12,2,100.0,10
2026-09-08T23:43:47.353355,Test 2,8,12,2,100.0,10
2026-09-08T23:43:47.353355,Test 3,8,12,2,10.0,10
2026-09-08T23:43:47.360357,Test 1,8,12,3,100.0,10
2026-09-08T23:43:47.360357,Test 2,8,12,3,100.0,10
2026-09-08T23:43:47.360357,Test 3,8,12,3,0.0,10
2026-09-08T23:43:47.367279,Test 1,8,12,4,100.0,10
2026-09-08T23:43:47.367279,Test 2,8,12,4,100.0,10
2026-09-08T23:43:47.367279,Test 3,8,12,4,0.0,10
2026-09-08T23:43:47.374290,Test 1,8,12,5,100.0,10
2026-09-08T23:43:47.374290,Test 2,8,12,5,100.0,10
2026-09-08T23:43:47.374290,Test 3,8,12,5,0.0,10
2026-09-08T23:43:47.381710,Test 1,8,12,6,100.0,10
2026-09-08T23:43:47.381710,Test 2,8,12,6,100.0,10
2026-09-08T23:43:47.381710,Test 3,8,12,6,0.0,10
2026-09-08T23:43:47.389132,Test 1,8,12,7,100.0,10
2026-09-08T23:43:47.389132,Test 2,8,12,7,100.0,10
2026-09-08T23:43:47.389132,Test 3,8,12,7,0.0,10
2026-09-08T23:43:47.396495,Test 1,8,12,8,100.0,10
2026-09-08T23:43:47.396495,Test 2,8,12,8,100.0,10
2026-09-08T23:43:47.396495,Test 3,8,12,8,0.0,10
2026-09-08T23:43:47.405185,Test 1,10,12,2,100.0,10
2026-09-08T23:43:47.405185,Test 2,10,12,2,100.0,10
2026-09-08T23:43:47.405185,Test 3,10,12,2,0.0,10
2026-09-08T23:43:47.413698,Test 1,10,12,3,100.0,10
2026-09-08T23:43:47.413698,Test 2,10,12,3,100.0,10
2026-09-08T23:43:47.413698,Test 3,10,12,3,0.0,10
2026-09-08T23:43:47.422727,Test 1,10,12,4,100.0,10
2026-09-08T23:43:47.422727,Test 2,10,12,4,100.0,10
2026-09-08T23:43:47.422727,Test 3,10,12,4,0.0,10
2026-09-08T23:43:47.431725,Test 1,10,12,5,100.0,10
2026-09-08T23:43:47.431725,Test 2,10,12,5,100.0,10
2026-09-08T23:43:47.431725,Test 3,10,12,5,0.0,10
2026-09-08T23:43:47.440736,Test 1,10,12,6,100.0,10
2026-09-08T23:43:47.440736,Test 2,10,12,6,100.0,10
2026-09-08T23:43:47.440736,Test 3,10,12,6,0.0,10
2026-09-08T23:43:47.450117,Test 1,10,12,7,100.0,10
2026-09-08T23:43:47.450117,Test 2,10,12,7,100.0,10
2026-09-08T23:43:47.450117,Test 3,10,12,7,0.0,10
2026-09-08T23:43:47.459465,Test 1,10,12,8,100.0,10
2026-09-08T23:43:47.459465,Test 2,10,12,8,100.0,10
2026-09-08T23:43:47.459465,Test 3,10,12,8,0.0,10
2026-09-08T23:43:47.481415,Test 1,2,5,2,100.0,10
2026-09-08T23:43:47.481415,Test 2,2,5,2,100.0,10
2026-09-08T23:43:47.481415,Test 3,2,5,2,100.0,10
2026-09-08T23:43:47.482842,Test 1,2,5,3,100.0,10
2026-09-08T23:43:47.482842,Test 2,2,5,3,100.0,10
2026-09-08T23:43:47.482842,Test 3,2,5,3,50.0,10
2026-09-08T23:43:47.484322,Test 1,2,5,4,100.0,10
2026-09-08T23:43:47.484322,Test 2,2,5,4,100.0,10
2026-09-08T23:43:47.484322,Test 3,2,5,4,30.0,10
2026-09-08T23:43:47.485952,Test 1,2,5,5,100.0,10
2026-09-08T23:43:47.485952,Test 2,2,5,5,100.0,10
2026-09-08T23:43:47.485952,Test 3,2,5,5,20.0,10
2026-09-08T23:43:47.487525,Test 1,2,6,2,100.0,10
2026-09-08T23:43:47.487525,Test 2,2,6,2,100.0,10
2026-09-08T23:43:47.487525,Test 3,2,6,2,80.0,10
2026-09-08T23:43:47.489308,Test 1,2,6,3,100.0,10
2026-09-08T23:43:47.489308,Test 2,2,6,3,100.0,10
2026-09-08T23:43:47.489308,Test 3,2,6,3,60.0,10
2026-09-08T23:43:47.490992,Test 1,2,6,4,100.0,10
2026-09-08T23:43:47.490992,Test 2,2,6,4,100.0,10
2026-09-08T23:43:47.490992,Test 3,2,6,4,40.0,10
2026-09-08T23:43:47.492691,Test 1,2,6,5,100.0,10
2026-09-08T23:43:47.492691,Test 2,2,6,5,100.0,10
2026-09-08T23:43:47.492691,Test 3,2,6,5,10.0,10
2026-09-08T23:43:47.494481,Test 1,2,6,6,100.0,10
2026-09-08T23:43:47.494481,Test 2,2,6,6,100.0,10
2026-09-08T23:43:47.494481,Test 3,2,6,6,10.0,10
2026-09-08T23:43:47.496461,Test 1,2,8,2,100.0,10
2026-09-08T23:43:47.496461,Test 2,2,8,2,100.0,10
2026-09-08T23:43:47.496461,Test 3,2,8,2,100.0,10
2026-09-08T23:43:47.498372,Test 1,2,8,3,100.0,10
2026-09-08T23:43:47.498372,Test 2,2,8,3,100.0,10
2026-09-08T23:43:47.498372,Test 3,2,8,3,70.0,10
2026-09-08T23:43:47.500444,Test 1,2,8,4,100.0,10
2026-09-08T23:43:47.500444,Test 2,2,8,4,100.0,10
2026-09-08T23:43:47.500444,Test 3,2,8,4,50.0,10
2026-09-08T23:43:47.502462,Test 1,2,8,5,100.0,10
2026-09-08T23:43:47.502462,Test 2,2,8,5,100.0,10
2026-09-08T23:43:47.502462,Test 3,2,8,5,10.0,10
2026-09-08T23:43:47.504725,Test 1,2,8,6,100.0,10
2026-09-08T23:43:47.504725,Test 2,2,8,6,100.0,10
2026-09-08T23:43:47.504725,Test 3,2,8,6,30.0,10
2026-09-08T23:43:47.507126,Test 1,2,8,7,100.0,10
2026-09-08T23:43:47.507126,Test 2,2,8,7,100.0,10
2026-09-08T23:43:47.507126,Test 3,2,8,7,10.0,10
2026-09-08T23:43:47.509392,Test 1,2,8,8,100.0,10
2026-09-08T23:43:47.509392,Test 2,2,8,8,100.0,10
2026-09-08T23:43:47.509392,Test 3,2,8,8,0.0,10
2026-09-08T23:43:47.511642,Test 1,2,10,2,100.0,10
2026-09-08T23:43:47.511642,Test 2,2,10,2,100.0,10
2026-09-08T23:43:47.511642,Test 3,2,10,2,100.0,10
2026-09-08T23:43:47.514065,Test 1,2,10,3,100.0,10
2026-09-08T23:43:47.514065,Test 2,2,10,3,100.0,10
2026-09-08T23:43:47.514065,Test 3,2,10,3,90.0,10
2026-09-08T23:43:47.516470,Test 1,2,10,4,100.0,10
2026-09-08T23:43:47.516470,Test 2,2,10,4,100.0,10
2026-09-08T23:43:47.516470,Test 3,2,10,4,80.0,10
2026-09-08T23:43:47.518858,Test 1,2,10,5,100.0,10
2026-09-08T23:43:47.518858,Test 2,2,10,5,100.0,10
2026-09-08T23:43:47.518858,Test 3,2,10,5,40.0,10
